A
9,2
9,2
11,1
9,9
6,7
10,7
10,9
9,2
10,2
11,2
6
7,2
7,3
5,9
9,7
12,2
10,7
5,7
6
6,4
8,6
10,6
11,9
10,6
7,5
6,8
8,7
9,4
12,7
13
13,4
13,1
14,4
11,1
5,8
7,6
9,7
11,8
12,2
11,8
11,4
9,1
6,7
5,2
6,2
10,6
12,2
14,3
15,2
16,9
17,1
16,9
17,7
18,8
17,8
17,2
10,4
10,5
8,4
9,2
11,5
13,3
13,4
12
7,1
6,7
8,4
10,6
11,6
11,9
13
13,4
10,5
12,1
10,7
10,2
11
14
15,7
16,7
14,4
12,9
14,6
15,3
17,4
16,5
16,9
17,3
15,4
13,4
16
19,9
21,6
25,2
23,4
24,5
25,8
16,1
18,3
18,2
17,8
17,7
16,6
16,7
19,7
21,6
21,5
18,6
20,7
23,4
25,3
21,3
21,6
19
21,6
24,8
27,1
29,4
28,1
24
25,2
28,9
27,6
23,1
21,8
21,8
22,6
25,3
20,4
18,6
17
17,8
17,2
17,9
17,9
17,8
18,3
19,3
21,1
22,2
23
25,5
24,2
24,5
26,8
28,9
29,9
29,9
23,2
20,4
21,3
23,6
21,4
20,9
22
20
22,1
23,4
24,6
19,2
21,4
24,8
23
21,2
18,2
17,7
17,2
18,4
19,7
19,7
24,2
21
17,5
17,3
18,8
20,4
21,4
23,7
24,5
25,1
25,4
23,2
24
24,9
23
19
18
20
17,7
16,5
16,3
13
13,8
14,4
16
20
19,5
19,8
20,4
20,5
17,7
14,7
12,7
12,7
15
16,5
16,3
15,6
15,6
16,9
17,2
16
17,4
16,6
